CLIENTNUM,Colume_for_test
768805383,test
818770008,test
713982108,test
769911858,test
709106358,test
713061558,test
810347208,test
818906208,test
710930508,test
719661558,test
708790833,test
710821833,test
710599683,test
816082233,test
712396908,test
714885258,test
709967358,test
753327333,test
806160108,test
709327383,test
806165208,test
708508758,test
784725333,test
811604133,test
789124683,test
771071958,test
720466383,test
804424383,test
718813833,test
806624208,test
778348233,test
712991808,test
709029408,test
788658483,test
787937058,test
715318008,test
713962233,test
785432733,test
715190283,test
708300483,test
827111283,test
758551608,test
773146383,test
778493808,test
720572508,test
712661433,test
789172683,test
738406533,test
799723908,test
771490833,test
720756708,test
779471883,test
711525033,test
712813458,test
714374133,test
717891558,test
716632758,test
768563658,test
711427458,test
714091983,test
787584108,test
712030833,test
711481533,test
710082708,test
708155733,test
788979258,test
807986133,test
788730933,test
711314058,test
717975333,test
715971108,test
720096558,test
719580033,test
820582308,test
789973308,test
712876233,test
804595158,test
714826758,test
779058108,test
710790258,test
715623483,test
715156383,test
711013983,test
755420433,test
794543958,test
716396358,test
715398033,test
711743883,test
719720058,test
778992108,test
717539808,test
714070758,test
714107958,test
789140283,test
715550508,test
719712633,test
772629333,test
720336708,test
802013583,test
711887583,test
714778833,test
713843283,test
779155158,test
721091583,test
713572683,test
716657058,test
779509983,test
717929133,test
808284783,test
708476808,test
710916408,test
708492558,test
799825758,test
718619883,test
711844758,test
714798783,test
826762908,test
771894558,test
721074183,test
715259583,test
718414008,test
719666283,test
714877233,test
785387883,test
771075258,test
711318033,test
783554958,test
720201033,test
718039683,test
710806083,test
714752208,test
822063408,test
714490308,test
713356833,test
711402333,test
708296883,test
719154483,test
717721458,test
711112683,test
715674483,test
789322833,test
789968058,test
709919283,test
718744008,test
767712558,test
712950783,test
716104983,test
818839983,test
772288758,test
712350858,test
711009708,test
712720158,test
712215258,test
773827008,test
795232683,test
713786508,test
713539833,test
712454058,test
718759833,test
718803333,test
720253908,test
714133158,test
713187033,test
714791208,test
772426383,test
710975883,test
714264408,test
715827858,test
713741358,test
709531908,test
716493408,test
714141108,test
708953883,test
712608783,test
820353558,test
714964758,test
716264358,test
717296808,test
712977183,test
710829108,test
779562633,test
